Data Source,World Development Indicators,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Last Updated Date,2020-02-27,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,x
Brazil,BRA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,1897.35313747888,1747.93960140896,1806.66971449756,1882.26400762918,1956.15935940865,2015.79992356084,2072.36264721709,2167.60658365478,2229.84529915118,2197.12554728151,2374.11665262872,2430.8033959668,2501.47405281669,2568.82970799499,2619.96061573831
China,CHN,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,992.943384720171,1076.54912135865,1194.85629490784,1379.48463210183,1585.83878247787,1782.31215291627,2039.0146603408,2325.92676902765,2446.36905458402,2612.45662004417,2943.58995443689,3298.00391331196,3474.98806170157,3773.40538390134,3927.04449998901
United States,USA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,13671.0520240061,13046.6141478464,13296.1822993023,13307.4920085002,13388.5897105591,13704.5770481407,13583.2669593387,13657.4528282523,13663.4279681827,12913.7146883015,13394.9485702119,13246.029529449,12964.3301891078,13004.1149096791,12993.9618247727
Nigeria,NGA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,74.490621615201,75.5697762555648,104.661047355753,101.925213686051,123.632484681433,129.327029350575,111.75241395457,138.909410926038,127.244612838351,120.635075862952,136.426270316806,150.198024237218,156.797185498593,142.729253580205,144.525462223266
